,beijing,chicago,dubai,las vegas,london,montreal,new delhi,new york city,san francisco,shanghai
dubai,7.0,1.0,10218.0,3.0,36.0,1.0,4.0,18.0,5.0,3.0
korea,4.0,0.0,3.0,0.0,2.0,1.0,0.0,44.0,0.0,0.0
dunhuang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hong kong,83.0,15.0,25.0,6.0,38.0,2.0,3.0,30.0,17.0,82.0
prc,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10rmb,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaos,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chongwenmen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the tiantan park,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marriot,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
starbucks,4.0,1.0,0.0,1.0,5.0,0.0,0.0,8.0,2.0,1.0
north korea,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mongolia,4.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
frankfurt,2.0,2.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
franfkurt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
randlage,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongquiao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caps,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xi'an,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
england,6.0,18.0,60.0,33.0,844.0,9.0,14.0,118.0,58.0,1.0
jinshajiang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comparrison,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
the joy city,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy city,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xi'dan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omelets,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
building,8.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,2.0
locaton,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0
novotel xinqiao,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qianmen,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobby,14.0,46.0,20.0,22.0,65.0,6.0,6.0,99.0,58.0,19.0
chongwen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
novotel,6.0,0.0,5.0,0.0,13.0,0.0,0.0,8.0,0.0,1.0
taiwan,5.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,7.0
megabite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kunming,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trip,3.0,1.0,15.0,19.0,39.0,3.0,6.0,25.0,20.0,3.0
sanlitun,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidet,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xinqiao,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canapés,3.0,0.0,33.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0
indochina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tianamen,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xian,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
china(although,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jazz!!the,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xidan,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiantan park,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peking,37.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
bianyifang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the hutong tours,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"fltxks@aol.comkansas city, usa",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
germany,6.0,6.0,9.0,3.0,63.0,0.0,0.0,18.0,17.0,2.0
france,2.0,11.0,7.0,19.0,155.0,15.0,6.0,27.0,35.0,4.0
the forbiden city,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
states,13.0,12.0,6.0,17.0,185.0,13.0,3.0,49.0,38.0,3.0
gloria,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,0.0
vancouver,6.0,3.0,1.0,6.0,14.0,11.0,2.0,9.0,23.0,3.0
the hotung (old town,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usa,16.0,65.0,16.0,88.0,227.0,17.0,12.0,186.0,157.0,8.0
east west avenue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyo,18.0,5.0,6.0,6.0,30.0,3.0,2.0,21.0,18.0,15.0
qianyuan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beixingqao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yunan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nanjing,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
japan,15.0,2.0,11.0,2.0,28.0,3.0,3.0,20.0,101.0,9.0
thailand,11.0,0.0,69.0,2.0,19.0,0.0,5.0,3.0,2.0,2.0
liulichang,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
&quot;my,1.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,1.0,0.0
north and south,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dongcheng,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bargain,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jianguomen,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peoples republic of china,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhong,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhong'an,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raffles,36.0,1.0,20.0,9.0,5.0,0.0,3.0,4.0,0.0,0.0
landry,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
congee,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
wonton noodles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kettle,8.0,1.0,9.0,6.0,121.0,2.0,2.0,15.0,4.0,3.0
curio city,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
united kingdom,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
dengshikou,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u.k,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
n.z.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
english).the,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hunan,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
well).if,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
japan).the,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bath,1.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0
wash basin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free).clean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yashio,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youdont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shenzhen,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweden,3.0,0.0,2.0,0.0,48.0,1.0,4.0,16.0,6.0,0.0
wanfujing,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegas,4.0,23.0,33.0,11687.0,27.0,3.0,0.0,64.0,87.0,3.0
victoria,1.0,0.0,1.0,4.0,1245.0,4.0,0.0,1.0,0.0,0.0
nichol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beijung,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
room.1435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crown plaza,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fc,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
plenty of space,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
button,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
cny120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaoyang,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rio de janeiro,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0
ho hai lake area,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
texas,2.0,16.0,2.0,85.0,18.0,2.0,1.0,42.0,15.0,1.0
vegetarian,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0
housekeeping,1.0,4.0,0.0,3.0,3.0,0.0,1.0,7.0,1.0,0.0
ba,2.0,0.0,14.0,3.0,58.0,0.0,0.0,21.0,2.0,0.0
alberta,1.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,4.0,1.0
canada,9.0,23.0,8.0,52.0,218.0,260.0,11.0,98.0,60.0,8.0
minibar,4.0,1.0,0.0,0.0,17.0,2.0,2.0,4.0,6.0,1.0
australasia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wudaokou,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
villas,1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
grill,2.0,1.0,6.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0
villa,2.0,0.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0
xiyuan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiamen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
beijing city,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china).you,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phoenix city,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sanyuanqiao,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chayoang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
another northern village,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yuans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cafe,3.0,8.0,4.0,64.0,35.0,1.0,0.0,21.0,23.0,5.0
a+,1.0,12.0,0.0,5.0,12.0,4.0,1.0,15.0,11.0,0.0
china)pool,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lama,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bamboo villa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
badaling,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cantilever,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baldaling,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commune,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shared,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
futon,4.0,0.0,0.0,2.0,9.0,0.0,1.0,16.0,11.0,1.0
zentral,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
guomao,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xi’an,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
xmas eve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tianlun,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
austrailia,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
boring,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oregon,1.0,1.0,0.0,5.0,4.0,0.0,0.0,7.0,9.0,0.0
danishes,2.0,12.0,1.0,3.0,3.0,3.0,0.0,25.0,10.0,0.0
miami,2.0,7.0,1.0,21.0,22.0,1.0,1.0,49.0,20.0,2.0
crowne,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hainan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tong an,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xizhimen,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
califronia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hanoi,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
vietnam,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0
new century,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o.k.,4.0,12.0,2.0,25.0,42.0,5.0,2.0,25.0,12.0,4.0
leistung,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yunnan,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bf,3.0,2.0,0.0,5.0,4.0,0.0,1.0,4.0,3.0,1.0
yanshan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baskin robbins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manila,4.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0
zhongnanhai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
russia,5.0,1.0,11.0,2.0,13.0,1.0,1.0,7.0,1.0,1.0
zhongguancun high tech,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,3.0,9.0,2.0,33.0,14.0,3.0,1.0,19.0,16.0,1.0
turkey,3.0,6.0,13.0,22.0,30.0,1.0,0.0,13.0,11.0,3.0
kazakhstan,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pudong,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0
mozambique,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
walmart,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
the city are fine &amp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n0:4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oakwood,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiantan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bj,28.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
overalll,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
hilton,4.0,15.0,19.0,17.0,70.0,2.0,1.0,16.0,21.0,7.0
ctrip,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
moscow,4.0,0.0,6.0,0.0,13.0,1.0,3.0,1.0,0.0,1.0
b.a.,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
the forbidden city's,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expedia,9.0,58.0,28.0,126.0,219.0,40.0,25.0,285.0,179.0,16.0
legendale,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literaly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
br,1.0,3.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0
dq,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chengde,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiananmen,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
west beijing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frederick,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maryland,1.0,1.0,0.0,14.0,3.0,1.0,0.0,12.0,1.0,0.0
daniel,1.0,1.0,0.0,0.0,4.0,2.0,1.0,10.0,0.0,0.0
madrid,1.0,3.0,1.0,0.0,12.0,1.0,1.0,3.0,1.0,1.0
spain,3.0,2.0,20.0,9.0,95.0,1.0,0.0,13.0,8.0,0.0
superb,2.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0
marriotto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
north chaoyang,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palm springs,2.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,3.0,0.0
leshan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oasis,5.0,0.0,27.0,15.0,13.0,1.0,7.0,5.0,12.0,3.0
la,4.0,18.0,5.0,105.0,31.0,5.0,1.0,84.0,117.0,0.0
ny city,2.0,1.0,0.0,2.0,4.0,0.0,0.0,132.0,1.0,0.0
modesto,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
cheaper).in,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chinese).superb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afterwards&quot;.we,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anyonw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guangzhou,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
silkmarket,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swimmingpool,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
café,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hotelwe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jinguao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cambodia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
laos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotel cote,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shauna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sofitel,5.0,41.0,1.0,0.0,11.0,13.0,1.0,36.0,0.0,16.0
robes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bath!great,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haidan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kitchen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,1.0,1.0,2.0,8.0,3.0,2.0,0.0,8.0,0.0,0.0
pearl,3.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,1.0,7.0
italy,6.0,10.0,10.0,19.0,141.0,2.0,7.0,167.0,60.0,5.0
toronto,3.0,18.0,1.0,17.0,41.0,109.0,4.0,57.0,14.0,3.0
tianjin,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicago,6.0,10883.0,4.0,39.0,64.0,20.0,4.0,146.0,67.0,7.0
mandarin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
houhai park,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhangzhou,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railway,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
doorman,1.0,2.0,0.0,1.0,2.0,0.0,0.0,9.0,5.0,0.0
new zealand,5.0,5.0,26.0,8.0,43.0,0.0,2.0,12.0,28.0,3.0
dongdan,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lama temple,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k.f.c.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forbidden city / tianamen square,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beijing west,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotel.if,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asiahotels,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the beijing zhan subway/metro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ny,10.0,26.0,6.0,33.0,36.0,9.0,2.0,3045.0,34.0,2.0
suzhou,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
beijingzhan,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quianmen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mandarin &quot;please,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
red city,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o.k,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0
dallas,1.0,6.0,2.0,11.0,10.0,4.0,0.0,30.0,8.0,2.0
